"","Data","Cases","Deaths","Recovered","Cases_Wave1","Cases_Wave2","Cases_Wave3","Cases_Wave4","Deaths_Wave1","Deaths_Wave2","Deaths_Wave3","Deaths_Wave4","Active_Wave1","Active_Wave2","Active_Wave3","Active_Wave4","Recovered_Wave1","Recovered_Wave2","Recovered_Wave3","Recovered_Wave4","Area","Model_Cases_Wave1","Model_Cases_Wave2","Model_Cases_Wave3","Model_Active_Wave1","Model_Active_Wave2","Model_Active_Wave3","Model_Deaths_Wave1","Model_Deaths_Wave2","Model_Deaths_Wave3","Model_Recovered_Wave1","Model_Recovered_Wave2","Model_Recovered_Wave3"
"624",2020-05-22,963,86,311,1.47678111763044e-08,0.00368844893110184,5.65064172930773e-06,4.58682345466128e-27,9.61644376589297e-05,0.00655821636709859,1.89920206956168e-08,0,0.00295167086092007,0.00217971576774465,0.000522015881122059,0.000149804552124235,6.57142857142857,0.00409842151374308,0.00535999921262319,1.40618511082076e-11,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"625",2020-05-23,988,86,311,8.16218646238405e-09,0.00381338898886744,6.70915006684506e-06,1.04094531903237e-26,6.81508430505126e-05,0.00684866472377658,2.33791656697087e-08,0,0.00302397220989834,0.0020805924765583,0.000583947724093845,0.000161462857373579,6.57142857142857,0.00409842151374308,0.00531128414124908,3.13720138625746e-11,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"626",2020-05-24,992,86,317,4.45194766493553e-09,0.00392740061213715,7.94981099122657e-06,2.34841052826366e-26,4.77865540757982e-05,0.00712758977566669,2.87263626700126e-08,0,0.00310895800606579,0.00198048314124267,0.000651005069265355,0.00017391199401086,5.85714285714286,0.00365294091442318,0.00525486545527987,6.88708634884499e-11,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"627",2020-05-25,1032,91,317,2.39633066966991e-09,0.00402926712636325,9.40081841809368e-06,5.26684249563514e-26,3.31526265577729e-05,0.00739258133915498,3.52310889462695e-08,0,0.00319394380223323,0.00187997573639213,0.000723294089595227,0.000187195632864791,5.85714285714286,0.00365294091442318,0.00519099871375749,1.48772234082236e-10,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"628",2020-05-26,1087,91,330,1.27290677887235e-09,0.00411787993208983,1.10941514044452e-05,1.17423995441019e-25,2.27566282195399e-05,0.00764128067752517,4.31285931390805e-08,0,0.00326243981705475,0.0017796324111655,0.000800876605961224,0.000201359056852841,10.2857142857143,0.00641492063020656,0.00511997095024084,3.16228835089344e-10,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"629",2020-05-27,1112,91,332,6.67266942729367e-10,0.00419225855966286,1.30659826277951e-05,2.6025170663358e-25,1.54552357007159e-05,0.007871415148232,5.26985072492433e-08,0,0.00332395938592223,0.00167998474179067,0.000883764281840127,0.000216449158324629,10.8571428571429,0.00677130510966248,0.00504209852482279,6.61415363307102e-10,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"630",2020-05-28,1127,91,347,3.45188070050744e-10,0.00425156871484289,1.53571146981618e-05,5.73403750103621e-25,1.0385349020653e-05,0.00808083258372316,6.42724910309512e-08,0,0.00339879762433834,0.00158152964225369,0.000971913082792811,0.000232514430617757,10.1428571428571,0.00632582451034258,0.00495772477852622,1.36125759376821e-09,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"631",2020-05-29,1143,94,383,1.76224019569948e-10,0.00429513785126062,1.80134435519973e-05,1.25590758083721e-24,6.90469192254649e-06,0.00826753468315231,7.82430458358566e-08,0,0.00346158563792474,0.00148472596402958,0.00106521814790551,0.000249604953423521,10.1428571428571,0.00632582451034258,0.00486721751439622,2.75676393978015e-09,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"632",2020-05-30,1161,96,387,8.87825440785576e-11,0.00432246786342426,2.10864476263151e-05,2.73454481410184e-24,4.54198044984615e-06,0.00842970869325624,9.50736486659603e-08,0,0.00349139408881929,0.00138999180107943,0.00116350922552205,0.000267772371559656,11.2857142857143,0.00703859346925441,0.0047709663311166,5.49353720214257e-09,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"633",2020-05-31,1181,96,388,4.41411075221652e-11,0.00433324456536363,2.46337008855377e-05,5.9189220205434e-24,2.95613294041179e-06,0.00856575667754719,1.15310371494737e-07,0,0.00350915231488413,0.00129770250217574,0.00126654682697834,0.00028706986674927,11.5714285714286,0.00721678570898237,0.00466937983614982,1.07720357802448e-08,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
