"","time","S","I","R","D","T","areas","w_i"
"572","42","0.179608427675607","0.570773574140304","0","0.249617998184089","0.819525773222893","Mazowieckie","1"
"573","43","0.153434343466181","0.574037817566293","0","0.272527838967526","0.845699857432319","Mazowieckie","1"
"574","44","0.131027349271568","0.573482658586971","0","0.295489992141461","0.868106851626931","Mazowieckie","1"
"575","45","0.111961121938682","0.569675832934958","0","0.318363045126361","0.887173078959818","Mazowieckie","1"
"576","46","0.095806255073916","0.563165738982723","0","0.341028005943361","0.903327945824583","Mazowieckie","1"
"577","47","0.0821550153532062","0.554457965210141","0","0.363387019436653","0.916979185545293","Mazowieckie","1"
"578","48","0.0706355094034389","0.544003108774005","0","0.385361381822556","0.92849869149506","Mazowieckie","1"
"579","49","0.0609180932620686","0.532192670208173","0","0.406889236529759","0.938216107636431","Mazowieckie","1"
"580","50","0.0527162353232925","0.519360551903088","0","0.427923212773619","0.946417965575207","Mazowieckie","1"
"581","51","0.0457848073685207","0.505786975975895","0","0.448428216655584","0.953349393529979","Mazowieckie","1"
"582","52","0.0399164361236042","0.491704170019407","0","0.468379393856988","0.959217764774895","Mazowieckie","1"
"583","53","0.0349369313654512","0.4773027538799","0","0.487760314754648","0.964197269533048","Mazowieckie","1"
"584","54","0.0307007407158343","0.462737814327742","0","0.506561444956423","0.968433460182665","Mazowieckie","1"
"585","55","0.0270866847484456","0.448134477729624","0","0.524778837521931","0.972047516150054","Mazowieckie","1"
"586","56","0.023994081215927","0.433592884162077","0","0.542413034621996","0.975140119682572","Mazowieckie","1"
"587","57","0.0213393588649309","0.419192483666617","0","0.559468157468452","0.977794842033568","Mazowieckie","1"
"588","58","0.0190531525506117","0.404995693915488","0","0.5759511535339","0.980081048347888","Mazowieckie","1"
"589","59","0.0170778510902974","0.3910509706096","0","0.591871178300102","0.982056349808202","Mazowieckie","1"
"590","60","0.015365549075963","0.377395361284076","0","0.607239089639961","0.983768651822536","Mazowieckie","1"
"591","61","0.0138763473117517","0.36405661767547","0","0.622067035012779","0.985257853586747","Mazowieckie","1"
"592","62","0.0125769501072685","0.351054934324673","0","0.636368115568058","0.986557250791231","Mazowieckie","1"
"593","63","0.0114395111303562","0.338404375528744","0","0.650156113340899","0.987694689768143","Mazowieckie","1"
"594","64","0.0104406856478993","0.326114044160314","0","0.663445270191786","0.9886935152506","Mazowieckie","1"
"595","65","0.00956085299208768","0.314189037889118","0","0.676250109118794","0.989573347906411","Mazowieckie","1"
"596","66","0.00878347875079106","0.302631231039723","0","0.688585290209486","0.990350722147708","Mazowieckie","1"
"597","67","0.00809459133766977","0.291439913742893","0","0.700465494919437","0.991039609560829","Mazowieckie","1"
"598","68","0.00748235201803593","0.280612314476292","0","0.711905333505672","0.991651848880463","Mazowieckie","1"
"599","69","0.00693670123403109","0.270144027373293","0","0.722919271392676","0.992197499664468","Mazowieckie","1"
"600","70","0.00644906721551801","0.260029361761382","0","0.7335215710231","0.992685133682981","Mazowieckie","1"
"601","71","0.00601212545957599","0.25026162816393","0","0.743726246376494","0.993122075438923","Mazowieckie","1"
"602","72","0.00561959979215964","0.240833372353424","0","0.753547027854416","0.99351460110634","Mazowieckie","1"
"603","73","0.0052660974633223","0.231736566887634","0","0.762997335649043","0.993868103435177","Mazowieckie","1"
"604","74","0.00494697214048861","0.222962767806105","0","0.772090260053407","0.994187228758011","Mazowieckie","1"
"605","75","0.00465820980771289","0.21450324274396","0","0.780838547448327","0.994475991090786","Mazowieckie","1"
"606","76","0.00439633352324484","0.206349075545566","0","0.78925459093119","0.994737867375254","Mazowieckie","1"
"607","77","0.00415832369626141","0.198491251577566","0","0.797350424726173","0.994975877202238","Mazowieckie","1"
"608","78","0.00394155137280168","0.190920726911552","0","0.805137721715647","0.995192649525698","Mazowieckie","1"
"609","79","0.00374372158790849","0.183628485070478","0","0.812627793341614","0.995390479310591","Mazowieckie","1"
"610","80","0.00356282623418741","0.176605582052004","0","0.819831591713808","0.995571374664312","Mazowieckie","1"
"611","81","0.00339710402712011","0.169843182702531","0","0.826759713270349","0.995737096871379","Mazowieckie","1"
"612","82","0.00324500646658821","0.163332589820549","0","0.833422403712863","0.995889194431911","Mazowieckie","1"
"613","83","0.00310516899397691","0.157065267001671","0","0.839829564004352","0.996029031904522","Mazowieckie","1"
"614","84","0.00297638643404072","0.151032856394993","0","0.845990757170966","0.996157814464459","Mazowieckie","1"
"615","85","0.00285759203649754","0.145227192236107","0","0.851915215727396","0.996276608862002","Mazowieckie","1"
"616","86","0.00274783954732521","0.139640310880831","0","0.857611849571844","0.996386361351174","Mazowieckie","1"
"617","87","0.00264628783599002","0.134264457941713","0","0.863089254222296","0.996487913062509","Mazowieckie","1"
"618","88","0.00255218768432799","0.129092093026838","0","0.868355719288834","0.996582013214171","Mazowieckie","1"
"619","89","0.00246487040765037","0.124115892497743","0","0.873419237094606","0.996669330490849","Mazowieckie","1"
"620","90","0.00238373803238618","0.119328750594212","0","0.878287511373401","0.996750462866113","Mazowieckie","1"
"621","91","0.00230825479900807","0.114723779216521","0","0.88296796598447","0.996825946099491","Mazowieckie","1"
"622","92","0.00223793979582888","0.110294306608259","0","0.887467753595912","0.99689626110267","Mazowieckie","1"
"623","93","0.00217236055986835","0.1060338751433","0","0.891793764296832","0.996961840338631","Mazowieckie","1"
"624","94","0.00211112750648012","0.101936238387562","0","0.895952634105958","0.997023073392019","Mazowieckie","1"
"625","95","0.00205388907070093","0.0979953575786549","0","0.899950753350644","0.997080311827798","Mazowieckie","1"
"626","96","0.00200032746107384","0.0942053976434724","0","0.903794274895453","0.997133873437425","Mazowieckie","1"
"627","97","0.00195015494160568","0.0905607228544802","0","0.907489122203914","0.997184045956894","Mazowieckie","1"
"628","98","0.00190311057004013","0.0870558922092323","0","0.911040997220727","0.997231090328459","Mazowieckie","1"
"629","99","0.00185895733116517","0.0836856546040046","0","0.91445538806483","0.997275243567334","Mazowieckie","1"
"630","100","0.00181747961275968","0.0804449438609549","0","0.917737576526285","0.99731672128574","Mazowieckie","1"
"631","101","0.00177848097929364","0.0773288736585299","0","0.920892645362176","0.997355719919206","Mazowieckie","1"
"632","102","0.00174178220485422","0.0743327324066603","0","0.923925485388485","0.997392418693645","Mazowieckie","1"
"633","103","0.00170721953216475","0.0714519781013719","0","0.926840802366463","0.997426981366334","Mazowieckie","1"
"634","104","0.00167464312914908","0.0686822331875904","0","0.92964312368326","0.99745955776935","Mazowieckie","1"
"635","105","0.0016439157183992","0.0660192794539633","0","0.932336804827637","0.9974902851801","Mazowieckie","1"
"636","106","0.00161491135823694","0.0634590529793197","0","0.934926035662443","0.997519289540262","Mazowieckie","1"
"637","107","0.00158751435690951","0.0609976391468337","0","0.937414846496257","0.99754668654159","Mazowieckie","1"
"638","108","0.00156161830389872","0.0586312677389304","0","0.939807113957171","0.9975725825946","Mazowieckie","1"
"639","109","0.00153712520441773","0.0563563081234159","0","0.942106566672166","0.997597075694082","Mazowieckie","1"
"640","110","0.00151394470496856","0.0541692645391342","0","0.944316790755897","0.997620256193531","Mazowieckie","1"
"641","111","0.00149199339938356","0.052066771487614","0","0.946441235113002","0.997642207499116","Mazowieckie","1"
"642","112","0.00147119420611013","0.0500455892356015","0","0.948483216558288","0.997663006692389","Mazowieckie","1"
"643","113","0.00145147580865327","0.048102599432056","0","0.95044592475929","0.997682725089846","Mazowieckie","1"
"644","114","0.00143277215208975","0.0462348008420608","0","0.952332427005849","0.99770142874641","Mazowieckie","1"
"645","115","0.0014150219894338","0.044439305199163","0","0.954145672811403","0.997719178909066","Mazowieckie","1"
"646","116","0.00139816847238676","0.0427133331768523","0","0.955888498350761","0.997736032426113","Mazowieckie","1"
"647","117","0.00138215878165698","0.0410542104792276","0","0.957563630739115","0.997752042116842","Mazowieckie","1"
"648","118","0.00136694379260591","0.0394593640503331","0","0.95917369215706","0.997767257105893","Mazowieckie","1"
"649","119","0.00135247777247347","0.0379263184011854","0","0.960721203826341","0.997781723126026","Mazowieckie","1"
"650","120","0.00133871810586954","0.0364526920531209","0","0.962208589841009","0.99779548279263","Mazowieckie","1"
"651","121","0.0013256250455986","0.0350361940957777","0","0.963638180858623","0.997808575852901","Mazowieckie","1"
"652","122","0.00131316148621687","0.0336746208577653","0","0.965012217656017","0.997821039412282","Mazowieckie","1"
"653","123","0.00130129275801366","0.0323658526878648","0","0.966332854554121","0.997832908140486","Mazowieckie","1"
"654","124","0.00128998643936477","0.0311078508444374","0","0.967602162716197","0.997844214459135","Mazowieckie","1"
"655","5","0.999978841066135","2.11589338646836e-05","0","0","0","Mazowieckie","2"
"656","6","0.999976021475825","2.39559669414386e-05","0","2.25572335412657e-08","2.81959031029627e-06","Mazowieckie","2"
"657","7","0.99997282926677","2.71226376683339e-05","0","4.80955616225714e-08","6.01179936527286e-06","Mazowieckie","2"
"658","8","0.999969215145073","3.070784555107e-05","0","7.70093762669513e-08","9.62592106265334e-06","Mazowieckie","2"
"659","9","0.999965123307335","3.47669475077255e-05","0","1.09745157017758e-07","1.37177588000596e-05","Mazowieckie","2"
"660","10","0.999960490613456","3.93625784518497e-05","0","1.46808091801278e-07","1.83504526789674e-05","Mazowieckie","2"
"661","11","0.999955245579727","4.45656501369771e-05","0","1.88770136333379e-07","2.35954864086268e-05","Mazowieckie","2"
"662","12","0.999949307276181","5.04564449787149e-05","0","2.36278840644306e-07","2.95337899546756e-05","Mazowieckie","2"
"663","13","0.999942584078942","5.71258537203995e-05","0","2.90067337147856e-07","3.62569871928637e-05","Mazowieckie","2"
"664","14","0.999934972257813","6.46767765378639e-05","0","3.50965648710921e-07","4.38688083218912e-05","Mazowieckie","2"
"665","15","0.999926370050649","7.32101612769991e-05","0","4.19788073754058e-07","5.24710154860696e-05","Mazowieckie","2"
"666","16","0.999916627331075","8.28749329727237e-05","0","4.97735952419309e-07","6.22137350604594e-05","Mazowieckie","2"
"667","17","0.999905598382517","9.38156420944112e-05","0","5.85975388241217e-07","7.32426836179689e-05","Mazowieckie","2"
"668","18","0.999893113739713","0.000106200397698503","0","6.85862588773339e-07","8.5727326422593e-05","Mazowieckie","2"
"669","19","0.999878981169207","0.000120219894748497","0","7.98936044306993e-07","9.98598969281204e-05","Mazowieckie","2"
"670","20","0.999862983215169","0.000136089848631463","0","9.26936199215869e-07","0.000115857850965995","Mazowieckie","2"
"671","21","0.999844873736566","0.000154054430229917","0","1.07183320401187e-06","0.000133967329569246","Mazowieckie","2"
"672","22","0.999824374131667","0.000174390011150155","0","1.23585718248052e-06","0.000154466934467952","Mazowieckie","2"
"673","23","0.999801169065552","0.000197409401954795","0","1.42153249256626e-06","0.000177672000582677","Mazowieckie","2"
"674","24","0.999774901633892","0.000223466649588337","0","1.63171651983034e-06","0.000203939432243483","Mazowieckie","2"
"675","25","0.999745167892405","0.000252962464020426","0","1.86964357464203e-06","0.000233673173730385","Mazowieckie","2"
"676","26","0.999711510669072","0.000286350356363359","0","2.1389745647239e-06","0.0002673303970634","Mazowieckie","2"
"677","27","0.999673412565766","0.000324143581033566","0","2.44385320016208e-06","0.000305428500369044","Mazowieckie","2"
"678","28","0.999630288044095","0.000366922986318272","0","2.78896958605408e-06","0.000348553022039642","Mazowieckie","2"
"679","29","0.999581474476836","0.000415345890994864","0","3.17963216891558e-06","0.000397366589299096","Mazowieckie","2"
"680","30","0.99952622203133","0.000470156119542001","0","3.62184912792608e-06","0.000452619034805243","Mazowieckie","2"
"681","31","0.999463688804805","0.000532188827492913","0","4.12236770192396e-06","0.000515152261330153","Mazowieckie","2"
"682","32","0.999392908251356","0.00060240281259552","0","4.68893604864496e-06","0.000585932814779482","Mazowieckie","2"
"683","33","0.999312794712212","0.00068187502836189","0","5.33025942582044e-06","0.000666046353923027","Mazowieckie","2"
"684","34","0.999222120552127","0.000771823263354391","0","6.05618451843778e-06","0.000756720514008145","Mazowieckie","2"
"685","35","0.999119495837846","0.000873626298539126","0","6.87786361482289e-06","0.000859345228289265","Mazowieckie","2"
"686","36","0.999003348488651","0.000988843595946525","0","7.8079154018304e-06","0.000975492577483672","Mazowieckie","2"
"687","37","0.998871900478444","0.00111923890362075","0","8.86061793540608e-06","0.00110694058769147","Mazowieckie","2"
